,bigrams,frequence
0,que je,1592
1,de la,1428
2,je ne,1263
3,service client,1245
4,pas de,950
5,je suis,913
6,le service,890
7,sur le,858
8,de livraison,845
9,je nai,801
10,de cdiscount,757
11,le site,718
12,que le,678
13,nest pas,661
14,alors que,622
15,que jai,593
16,et je,570
17,ce site,560
18,frais de,557
19,la commande,553
20,ma commande,547
21,la livraison,529
22,on me,521
23,plus de,515
24,le produit,466
