,bigrams,frequence
0,je suis,677
1,de livraison,577
2,bon site,571
3,très bien,421
4,pas de,407
5,que je,386
6,la livraison,373
7,rapide et,365
8,livraison rapide,321
9,rien dire,305
10,de la,302
11,un peu,299
12,très bon,289
13,de cdiscount,274
14,pour le,272
15,tres bien,254
16,des produits,253
17,le site,246
18,de mes,236
19,beaucoup de,230
20,je recommande,228
21,je nai,226
22,de choix,215
23,satisfait de,214
24,satisfaite de,211
